unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.57E+12,05-11-2019 0:00,BTC/USDT,9395.47,9457.13,9164.33,9313.2,113738.2,1.06E+09,276198
1.57E+12,06-11-2019 0:00,BTC/USDT,9313.1,9450,9259.48,9343.6,73767.91,6.89E+08,190226
1.57E+12,07-11-2019 0:00,BTC/USDT,9344.29,9381.93,9091.2,9219.64,77389.57,7.15E+08,178691
1.57E+12,08-11-2019 0:00,BTC/USDT,9221.63,9259.3,8669.85,8775.03,151851.2,1.36E+09,319405
1.57E+12,09-11-2019 0:00,BTC/USDT,8775.6,8878,8727,8811.15,66846.39,5.89E+08,183364
1.57E+12,10-11-2019 0:00,BTC/USDT,8811.3,9187,8760,9041.31,91099.2,8.15E+08,245197
1.57E+12,11-11-2019 0:00,BTC/USDT,9041.31,9072.91,8611.11,8728.93,113373.8,9.96E+08,324917
1.57E+12,12-11-2019 0:00,BTC/USDT,8729.89,8889.06,8552.12,8817,107520.5,9.39E+08,287214
1.57E+12,13-11-2019 00:00,BTC/USDT,8817.94,8838,8712,8774.76,58585.81,5.14E+08,163995
1.57E+12,14-11-2019 00:00,BTC/USDT,8774.78,8798.06,8581.39,8642.25,87100,7.55E+08,225625
1.57E+12,15-11-2019 00:00,BTC/USDT,8642.47,8780,8380,8473.27,145602.5,1.25E+09,368156
1.57E+12,16-11-2019 00:00,BTC/USDT,8473.3,8540.54,8435,8491.06,48657.04,4.13E+08,152747
1.57E+12,17-11-2019 00:00,BTC/USDT,8491.18,8631,8355.78,8504.04,72152.27,6.15E+08,215149
1.57E+12,18-11-2019 00:00,BTC/USDT,8504.13,8504.71,8050,8183.26,123477.1,1.03E+09,363313
1.57E+12,19-11-2019 00:00,BTC/USDT,8183.3,8212.87,8000,8131.7,110854,8.99E+08,294385
1.57E+12,20-11-2019 00:00,BTC/USDT,8131.12,8230,8037.5,8094.05,87352.38,7.09E+08,241974
1.57E+12,21-11-2019 00:00,BTC/USDT,8094.57,8131.51,7432,7621.9,180289.2,1.40E+09,412277
1.57E+12,22-11-2019 00:00,BTC/USDT,7621.89,7765.03,6762.73,7262.72,371214,2.69E+09,999166
1.57E+12,23-11-2019 00:00,BTC/USDT,7261.89,7345.84,7073.38,7305.99,139643.3,1.01E+09,378359
1.57E+12,24-11-2019 00:00,BTC/USDT,7306.19,7324.92,6855.91,6900.86,183676.1,1.30E+09,504021
1.57E+12,25-11-2019 00:00,BTC/USDT,6899.77,7386.29,6510.19,7102.03,333987.9,2.32E+09,926856
1.57E+12,26-11-2019 00:00,BTC/USDT,7103.34,7340.06,7011.9,7150,193962.1,1.38E+09,525112
1.57E+12,27-11-2019 00:00,BTC/USDT,7149.97,7669.2,6850,7506.77,297843,2.16E+09,787562
1.57E+12,28-11-2019 00:00,BTC/USDT,7506.78,7643,7356,7415.79,175000.6,1.31E+09,439167
1.57E+12,29-11-2019 00:00,BTC/USDT,7417,7850,7394.57,7736.66,185819.2,1.42E+09,481870
1.58E+12,30-11-2019 00:00,BTC/USDT,7737.23,7800,7444.18,7542.93,141966.4,1.08E+09,362290
1.58E+12,01-12-2019 0:00,BTC/USDT,7541.08,7541.08,7222.29,7387.38,196291.3,1.44E+09,500459
1.58E+12,02-12-2019 0:00,BTC/USDT,7388,7416.75,7137.74,7291,143967,1.05E+09,370901
1.58E+12,03-12-2019 0:00,BTC/USDT,7291.74,7404.42,7231.35,7290.86,84699.47,6.19E+08,233130
1.58E+12,04-12-2019 0:00,BTC/USDT,7290.85,7800,7070,7191,274879.5,2.01E+09,593445
1.58E+12,05-12-2019 0:00,BTC/USDT,7189.42,7480,7142.54,7384.99,176315.1,1.29E+09,446089
1.58E+12,06-12-2019 0:00,BTC/USDT,7384.66,7602.44,7295.73,7522.1,136218.7,1.01E+09,367352
1.58E+12,07-12-2019 0:00,BTC/USDT,7521.13,7616.91,7467.44,7487.2,83208.78,6.26E+08,223129
1.58E+12,08-12-2019 0:00,BTC/USDT,7487.19,7559.39,7376,7508.2,84380.34,6.31E+08,218684
1.58E+12,09-12-2019 0:00,BTC/USDT,7507.87,7676.48,7269.05,7337.49,136440.2,1.02E+09,349478
1.58E+12,10-12-2019 0:00,BTC/USDT,7338.2,7403.71,7152,7220.98,126662.8,9.23E+08,294099
1.58E+12,11-12-2019 0:00,BTC/USDT,7220.92,7267,7117.74,7205.77,97320.73,7.01E+08,224496
1.58E+12,12-12-2019 0:00,BTC/USDT,7206.78,7295.12,7080,7194.77,140594.1,1.01E+09,304604
1.58E+12,13-12-2019 00:00,BTC/USDT,7194.08,7298,7190,7252.98,80178.83,5.80E+08,187255
1.58E+12,14-12-2019 00:00,BTC/USDT,7252.98,7266.14,7007.86,7061.34,97837.51,6.98E+08,236813
1.58E+12,15-12-2019 00:00,BTC/USDT,7060.79,7196,7004.77,7115,87933.23,6.24E+08,180924
1.58E+12,16-12-2019 00:00,BTC/USDT,7115.45,7147.34,6831,6887.54,117597.9,8.23E+08,249488
1.58E+12,17-12-2019 00:00,BTC/USDT,6887.48,6940,6550,6618.96,166411.3,1.12E+09,348899
1.58E+12,18-12-2019 00:00,BTC/USDT,6618.96,7479.99,6427,7277.44,328489.6,2.24E+09,675369
1.58E+12,19-12-2019 00:00,BTC/USDT,7278.11,7367.87,7042.82,7146.29,158849.6,1.14E+09,323697
1.58E+12,20-12-2019 00:00,BTC/USDT,7146.29,7217.08,7078.17,7184.39,86449.57,6.18E+08,179313
1.58E+12,21-12-2019 00:00,BTC/USDT,7184.39,7185,7108,7131.01,44340.87,3.17E+08,99594
1.58E+12,22-12-2019 00:00,BTC/USDT,7131.02,7517.61,7122,7502.92,129797.4,9.49E+08,278563
1.58E+12,23-12-2019 00:00,BTC/USDT,7502.92,7691,7262,7314.01,215298.8,1.62E+09,431464
1.58E+12,24-12-2019 00:00,BTC/USDT,7314.03,7434.55,7156.08,7252.04,149081,1.09E+09,279760
1.58E+12,25-12-2019 00:00,BTC/USDT,7251.57,7267.63,7123.19,7201.45,96965.07,6.99E+08,174360
1.58E+12,26-12-2019 00:00,BTC/USDT,7201.67,7438.8,7151,7197.46,133973.5,9.73E+08,246938
1.58E+12,27-12-2019 00:00,BTC/USDT,7197.84,7270,7078.89,7248.4,112284.6,8.08E+08,211189
1.58E+12,28-12-2019 00:00,BTC/USDT,7248.4,7359.15,7235,7311.48,91292.88,6.67E+08,156362
1.58E+12,29-12-2019 00:00,BTC/USDT,7310.29,7527,7283.6,7383.67,102544,7.57E+08,186571
1.58E+12,30-12-2019 00:00,BTC/USDT,7383.68,7400,7215.58,7240.43,94375.36,6.89E+08,174925
1.58E+12,31-12-2019 00:00,BTC/USDT,7240.8,7319,7141,7189,89203.44,6.44E+08,157014
1.58E+12,01-01-2020 0:00,BTC/USDT,7189.43,7260.43,7170.15,7197.57,56801.33,4.10E+08,101871
1.58E+12,02-01-2020 0:00,BTC/USDT,7197.57,7209.59,6922,6962.04,115295.7,8.16E+08,224747
1.58E+12,03-01-2020 0:00,BTC/USDT,6962.34,7407.28,6863.44,7341.72,208493.5,1.51E+09,409820
