unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,pct_chagnge
1.64385E+12,44595,BTC/USDT,36892.05,37395,36204.3,37289.86,318656.23,11697089175,-0.1
1.64376E+12,44594,BTC/USDT,38680.51,38834.18,36529.81,36892.03,337570.93,12748099871,-0.01
1.64367E+12,44593,BTC/USDT,38439.04,39260.26,37969,38680.51,353354.12,13632595784,0.05
1.64359E+12,44592,BTC/USDT,37870,38741.73,36620,38439.04,318440.39,11976940218,-0.01
1.6435E+12,44591,BTC/USDT,38150,38420.3,37334.83,37870.01,195029.13,7393111441,-0.01
1.64341E+12,44590,BTC/USDT,37696.22,38750.94,37252,38150.01,238657.76,9034176250,0.01
1.64333E+12,44589,BTC/USDT,37131,38000,36149.02,37696.21,367509.14,13594591900,-0.01
1.64324E+12,44588,BTC/USDT,36787.42,37200,35471.53,37131,422006.92,15328505622,-0.01
1.64316E+12,44587,BTC/USDT,36934.26,38886.58,36232.42,36787.43,554457.38,20858872853,-0.01
1.64307E+12,44586,BTC/USDT,36648.3,37561.03,35693,36934.26,409535.52,14967474933,0
1.64298E+12,44585,BTC/USDT,36230,37528,32853.83,36648.31,823000.7,28523818659,-0.01
1.6429E+12,44584,BTC/USDT,35043.73,36496.92,34588.8,36230.01,369372.9,13097400244,-0.01
1.64281E+12,44583,BTC/USDT,36426.46,36817.74,33950,35043.73,676272.9,23906967843,-0.03
1.64272E+12,44582,BTC/USDT,40662.06,41095.76,35380.92,36425.98,790320.91,30302616544,0.04
1.64264E+12,44581,BTC/USDT,41656.9,43495,40550,40661.69,399818.05,16867468374,0.12
1.64255E+12,44580,BTC/USDT,42337.58,42545,41115.64,41657.89,333952.1,13989826398,0.02
1.64246E+12,44579,BTC/USDT,42176.34,42680,41260,42337.58,267472.47,11189671439,0.02
1.64238E+12,44578,BTC/USDT,43060.66,43159.32,41523.68,42176.34,232748.35,9870740740,0
1.64229E+12,44577,BTC/USDT,43070.51,43464.71,42531.69,43060.66,177450.48,7638792723,0.02
1.6422E+12,44576,BTC/USDT,43042.4,43800,42530.64,43070.51,184649.16,7962625062,0
1.64212E+12,44575,BTC/USDT,42538.72,43450,41666,43042.4,272517.08,11620761639,0
1.64203E+12,44574,BTC/USDT,43880.72,44396.68,42301.16,42534.32,289289.18,12536916956,-0.01
1.64195E+12,44573,BTC/USDT,42700.69,44300,42415,43880.72,281339.29,12189347664,0.03
1.64186E+12,44572,BTC/USDT,41801.55,43118,41255,42700.68,323760.69,13657150778,-0.03
1.64177E+12,44571,BTC/USDT,41851.22,42219.84,39610,41801.55,453644.12,18676770270,-0.02
1.64169E+12,44570,BTC/USDT,41688.05,42773.85,41170,41851.22,223134.95,9347759287,0
1.6416E+12,44569,BTC/USDT,41553.87,42335,40500,41688.05,283737.22,11779922567,0
1.64151E+12,44568,BTC/USDT,43080.01,43135,40456.56,41553.86,473214.85,19783906993,0
1.64143E+12,44567,BTC/USDT,43421.7,43766,42385.83,43080.01,299509.85,12890924258,0.04
1.64134E+12,44566,BTC/USDT,45833.41,47075.29,42270,43421.69,485477.57,21959888821,0.01
1.64125E+12,44565,BTC/USDT,46445.8,47524.36,45445.57,45833.42,292149.75,13573606756,0.06
1.64117E+12,44564,BTC/USDT,47280.01,47575.22,45665.4,46445.81,244781.79,11434725784,0.01
1.64108E+12,44563,BTC/USDT,47704.35,48000,46605.68,47280,184795.09,8730148324,0.02
1.641E+12,44562,BTC/USDT,46210.57,47943.77,46210.55,47704.35,179433.58,8461832662,0.01
1.64091E+12,44561,BTC/USDT,47095.02,48575,45650,46210.56,287186,13567843473,-0.03
1.64082E+12,44560,BTC/USDT,46436.53,47911.68,45880,47095.02,229931.29,10818483278,0.02
1.64074E+12,44559,BTC/USDT,47522.02,48125.97,46000,46436.54,274795.38,13014511681,-0.01
1.64065E+12,44558,BTC/USDT,50707.72,50713.56,47290,47522.03,336083.34,16407080716,0.02
1.64056E+12,44557,BTC/USDT,50765.73,52134,50450,50707.72,216225.26,11061080417,0.07
1.64048E+12,44556,BTC/USDT,50403.64,51300,49350,50765.73,184800.62,9267956168,0
1.64039E+12,44555,BTC/USDT,50809.37,51190,50105,50403.64,147662.44,7493948260,-0.01
1.6403E+12,44554,BTC/USDT,50817.94,51805,50379.25,50808.55,220208.73,11239397651,0.01
1.64022E+12,44553,BTC/USDT,48569.69,51377.74,48020,50817.92,255885.48,12639718706,0
1.64013E+12,44552,BTC/USDT,48875.88,49599,48420.02,48569.69,208463.69,10204294033,-0.04
1.64004E+12,44551,BTC/USDT,46896.82,49298.78,46650,48875.15,260008.36,12591846630,0.01
1.63996E+12,44550,BTC/USDT,46668.65,47533.42,45530.67,46898.14,273804.26,12694248817,-0.04
1.63987E+12,44549,BTC/USDT,46815.99,48461.17,46399.37,46668.63,241698.54,11424734108,0
1.63979E+12,44548,BTC/USDT,46125.33,47336.99,45438.43,46815.99,191006.42,8888783519,0
1.6397E+12,44547,BTC/USDT,47629.1,47988.27,45373.11,46125.33,326458.14,15254949356,-0.01
1.63961E+12,44546,BTC/USDT,48870.48,49439.79,47500,47624.5,215874.19,10475553467,0.03
1.63953E+12,44545,BTC/USDT,48324,49479.75,46518.73,48870.48,345239.89,16608174001,0.03
1.63944E+12,44544,BTC/USDT,46679.93,48657.92,46255.6,48324.04,266213.63,12568719900,-0.01
1.63935E+12,44543,BTC/USDT,50057.02,50180,45600,46679.93,348551.32,16649825352,-0.03
1.63927E+12,44542,BTC/USDT,49379.51,50768,48616.16,50057.01,183434.29,9106252724,0.07
1.63918E+12,44541,BTC/USDT,47132.31,49499.05,46724.35,49381.15,210959.99,10208756470,-0.01
1.63909E+12,44540,BTC/USDT,47539.34,50188.42,46828.23,47136.35,302974.43,14624324088,-0.05
1.63901E+12,44539,BTC/USDT,50459.61,50773.03,47312.89,47539.76,273086.09,13331462596,0.01
